country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,gdp_per_capita,gdp_per_capita_quintiles
Ireland,2021,IRL,4986525.0,314321666048.0,1.77,0.355,37.54,2.387,6.791,42.084,7.224,20.722,8.439,0.097,0.234,7.528,0.124,0.209,6.293,1.262,43.6,8.815,0.161,73.484,2263.349,2088.063,883.995,0.103,304.787,-325.327,983.217,17.763,35991.977,0.593,0.0,0.0,10.502,2.106,12.557,11.985,4.543,0.911,15.46,3.158,9.25,1.889,18.439,3.698,0.108,0.537,179.475,0.106,0.101,0.102,0.042,0.163,0.13,0.084,0.11,0.001,0.12,-0.044,0.162,0.183,0.0,0.133,0.115,0.156,0.181,0.044,-0.0,0.001,0.001,0.0,58.68,61.48,8.447,24.03,63034.210406645914,4.0
Israel,2021,ISR,8900057.0,278806233088.0,1.425,0.16,54.529,-0.48,-0.872,56.617,-0.48,-0.84,6.361,0.224,0.195,6.127,0.216,0.188,14.043,1.578,73.731,8.419,0.295,85.417,2428.609,2481.994,798.915,0.008,201.977,56.499,1342.292,,32588.326,1.046,0.001,0.0,19.449,2.185,10.128,10.137,2.088,0.235,9.74,1.132,2.72,0.316,19.611,2.203,,,290.038,0.085,0.147,0.138,0.094,0.19,0.14,0.1,0.099,0.0,0.08,0.008,0.222,,0.0,0.246,0.053,0.166,,0.104,0.001,0.001,0.002,0.0,87.26,87.18,18.722,34.036,31326.342414211504,4.0
Italy,2021,ITA,59240336.0,2077209133056.0,7.059,0.119,328.687,26.409,8.737,290.692,28.461,10.853,4.907,0.148,0.165,5.548,0.168,0.187,24.0,0.405,388.822,6.535,0.217,949.116,25065.178,24571.414,4734.375,95.916,5507.859,-225.592,13635.771,142.139,29723.066,0.892,2.113,0.036,150.956,2.548,6.513,6.298,-37.996,-0.641,44.36,0.743,15.35,0.257,141.807,2.394,0.046,2.753,1760.804,0.422,0.885,0.708,0.16,2.106,1.443,0.993,0.589,0.52,2.168,-0.03,2.252,1.468,0.507,1.906,-0.965,1.198,0.929,0.887,0.002,0.011,0.014,0.001,376.19,389.0,86.543,28.63,35064.10113973695,4.0
Jamaica,2021,JAM,2827701.0,19431862272.0,0.402,0.142,7.69,0.746,10.747,8.093,0.746,10.158,2.862,0.444,0.234,2.719,0.416,0.222,0.371,0.131,6.324,2.242,0.378,14.88,459.889,633.526,6.52,0.0,1.891,354.455,436.597,,12235.784,1.785,0.0,0.0,0.572,0.202,3.543,3.607,0.403,0.143,0.79,0.281,0.45,0.16,6.345,2.244,,,34.599,0.024,0.021,0.02,0.002,0.033,0.026,0.026,0.001,0.0,0.001,0.048,0.072,,0.0,0.007,0.01,0.054,,0.024,0.0,0.0,0.0,0.0,10.15,9.97,-0.62,-8.929,6871.9649892262305,1.0
Japan,2021,JPN,124612528.0,4867010592768.0,23.789,0.191,1067.398,25.174,2.415,1070.0,26.237,2.514,8.587,0.235,0.215,8.566,0.235,0.214,418.82,3.361,1187.141,9.479,0.263,2005.37,66711.078,71644.438,24175.926,15.542,7061.825,5201.744,33153.129,299.291,39995.086,1.082,0.345,0.003,221.525,1.778,9.273,9.018,2.601,0.021,27.39,0.218,18.71,0.149,395.359,3.173,0.061,7.56,4983.889,1.422,2.875,2.606,2.796,4.45,3.841,2.895,3.006,0.084,2.78,0.701,5.476,3.091,0.083,2.796,0.066,3.34,2.553,2.111,0.002,0.031,0.034,0.001,1134.45,1166.51,144.917,13.905,39057.15316816299,4.0
Jordan,2021,JOR,11148288.0,104894210048.0,1.764,0.158,25.594,0.652,2.612,25.484,0.615,2.473,2.286,0.238,0.249,2.296,0.238,0.25,0.543,0.049,29.154,2.668,0.297,55.421,726.421,770.572,6.996,0.013,96.864,60.676,567.127,,9183.148,1.12,0.001,0.0,8.207,0.736,3.418,3.418,-0.11,-0.01,6.71,0.627,1.31,0.122,15.079,1.353,,,102.376,0.105,0.069,0.062,0.004,0.123,0.042,0.031,0.001,0.0,0.038,0.008,0.094,,0.0,0.104,-0.003,0.127,,0.036,0.0,0.0,0.001,0.0,36.57,36.57,4.212,16.885,9408.997152567283,2.0
Kazakhstan,2021,KAZ,19196468.0,463720546304.0,4.448,0.232,276.683,-1.721,-0.618,267.377,-0.988,-0.368,13.928,0.691,0.328,14.413,0.716,0.34,180.818,9.419,185.503,9.774,0.393,125.683,14219.759,18383.193,9421.18,544.544,1203.375,4297.139,2841.007,83.971,42442.488,1.732,16.844,0.877,27.98,1.458,14.646,14.486,-9.307,-0.485,48.89,2.607,12.17,0.649,42.768,2.228,0.199,3.825,814.746,0.266,0.745,0.651,1.207,0.279,0.819,0.743,1.172,2.951,0.474,0.579,0.469,0.867,4.044,0.353,-0.236,0.361,1.292,0.903,0.003,0.011,0.015,0.001,271.68,274.67,-92.902,-33.369,24156.55558637141,3.0
Kenya,2021,KEN,53005616.0,173505904640.0,3.583,0.068,19.875,1.6,8.752,28.376,-0.086,-0.302,0.535,0.187,0.274,0.375,0.105,0.192,1.703,0.032,26.912,0.518,0.156,54.575,491.164,2989.682,27.498,0.0,0.0,3367.692,409.092,,1952.694,0.589,0.0,0.0,0.0,0.0,1.59,1.441,8.5,0.16,36.84,0.723,19.88,0.39,14.589,0.275,,,103.504,0.214,0.054,0.069,0.011,0.121,0.028,0.121,0.003,0.0,0.0,0.454,0.068,,0.0,0.0,0.216,0.123,,0.219,0.002,0.001,0.004,0.0,73.4,81.01,8.636,47.254,3273.3494624418668,1.0
Kiribati,2021,KIR,128883.0,,0.0,0.0,0.072,0.002,2.767,,,,,,,0.555,,0.227,0.0,0.0,,,,0.0,2.167,,0.0,0.0,0.0,,2.167,,2446.698,,0.0,0.0,0.0,0.0,0.966,0.966,,,0.02,0.161,0.01,0.08,0.072,0.555,,,0.315,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,0.12,0.12,,,,
Kuwait,2021,KWT,4250111.0,277117140992.0,1.222,0.288,106.134,6.356,6.37,106.134,6.356,6.37,24.972,0.35,0.255,24.972,0.35,0.255,0.0,0.0,96.94,22.232,0.347,31.255,3488.381,3488.125,0.0,315.587,1063.164,-0.256,2078.376,,98065.5,1.666,1.358,0.32,49.817,11.721,30.778,30.778,0.0,0.0,24.71,5.564,0.99,0.223,53.736,12.644,,,416.789,0.073,0.286,0.258,0.0,0.069,0.201,0.141,0.0,1.71,0.418,-0.0,0.343,,0.326,0.629,0.0,0.454,,0.198,0.002,0.002,0.003,0.0,136.69,136.69,-2.839,-2.845,65202.330243139535,4.0
Kyrgyzstan,2021,KGZ,6527742.0,29601148928.0,0.783,0.12,9.308,0.819,9.653,9.345,0.819,9.611,1.432,0.375,0.154,1.426,0.375,0.154,3.6,0.551,16.622,2.587,0.681,33.049,848.595,1214.225,409.427,5.557,87.401,375.23,313.162,,9274.61,2.476,0.0,0.0,0.692,0.106,2.674,2.157,0.037,0.006,4.8,0.759,1.92,0.304,4.234,0.649,,,60.542,0.047,0.025,0.023,0.024,0.073,0.049,0.049,0.051,0.03,0.034,0.051,0.052,,0.0,0.009,0.001,0.036,,0.059,0.0,0.001,0.001,0.0,13.64,16.91,8.134,95.816,4534.668944942983,1.0
Laos,2021,LAO,7425055.0,46666960896.0,2.049,0.276,20.778,0.29,1.414,69.509,1.865,2.757,9.361,1.462,0.497,2.798,0.441,0.148,15.104,2.034,22.255,3.041,0.477,16.6,174.804,2621.037,98.163,0.0,0.0,3325.483,60.041,,18847.086,2.719,0.0,0.0,0.0,0.0,4.06,5.466,48.731,6.563,8.27,1.147,3.63,0.503,3.624,0.488,,,139.941,0.123,0.056,0.169,0.101,0.037,0.01,0.106,0.012,0.0,0.0,0.448,0.01,,0.0,0.0,1.237,0.031,,0.09,0.0,0.001,0.001,0.0,39.42,29.28,1.767,8.624,6285.066022541248,1.0
Latvia,2021,LVA,1873926.0,46862479360.0,0.551,0.294,7.266,0.272,3.89,9.904,0.639,6.891,5.285,0.199,0.234,3.878,0.168,0.171,0.137,0.073,13.94,7.348,0.346,16.571,960.503,1714.884,152.458,1.558,157.523,815.24,630.248,2.144,22625.613,0.93,0.0,0.0,2.271,1.212,6.105,4.659,2.638,1.408,1.98,1.033,1.94,1.012,4.236,2.26,0.038,0.072,42.399,0.033,0.02,0.024,0.001,0.037,0.055,0.069,0.019,0.008,0.062,0.11,0.104,0.022,0.0,0.029,0.067,0.036,0.024,0.053,0.0,0.001,0.001,0.0,8.93,11.7,6.945,99.305,25007.646705366165,3.0
Lebanon,2021,LBN,5592626.0,96800194560.0,2.134,0.382,24.959,0.484,1.977,24.996,0.52,2.126,4.469,0.271,0.237,4.463,0.271,0.237,0.434,0.078,,,,73.158,756.119,778.25,15.652,0.0,0.579,31.877,666.731,,18831.662,1.087,0.0,0.0,0.0,0.0,6.09,6.076,0.037,0.007,3.41,0.59,0.94,0.163,22.392,4.004,,,105.318,0.128,0.067,0.061,0.003,0.162,0.044,0.031,0.002,0.0,0.0,0.004,0.11,,0.0,0.0,0.001,0.189,,0.032,0.0,0.0,0.001,0.0,35.13,35.21,,,17308.540667657733,3.0
Lesotho,2021,LSO,2281464.0,5360395776.0,0.0,0.0,2.282,0.094,4.302,6.642,-0.382,-5.441,2.911,1.406,1.365,1.0,0.442,0.469,1.582,0.694,,,,0.0,66.183,139.756,50.965,0.0,0.0,176.019,15.218,,2132.814,0.895,0.0,0.0,0.0,0.0,1.137,1.137,4.36,1.911,1.04,0.467,0.56,0.252,0.7,0.307,,,4.866,0.0,0.006,0.016,0.011,0.0,0.004,0.006,0.006,0.0,0.0,0.024,0.003,,0.0,0.0,0.111,0.006,,0.012,0.0,0.0,0.0,0.0,2.53,2.53,,,2349.542125582521,0.0
Liberia,2021,LBR,5193422.0,3936415744.0,0.132,0.025,1.195,0.068,6.021,18.086,0.288,1.617,3.483,4.463,3.271,0.23,0.275,0.216,0.0,0.0,,,,2.518,53.785,1025.148,0.0,0.0,0.0,1982.114,51.266,,1064.616,1.394,0.0,0.0,0.0,0.0,0.445,3.183,16.891,3.252,0.47,0.094,0.46,0.092,1.064,0.205,,,5.529,0.008,0.003,0.044,0.0,0.006,0.003,0.041,0.0,0.0,0.0,0.267,0.008,,0.0,0.0,0.429,0.009,,0.042,0.0,0.001,0.001,0.0,15.87,2.22,,,757.9618494318389,0.0
Libya,2021,LBY,6735280.0,100416020480.0,1.627,0.242,74.525,15.96,27.252,74.122,15.96,27.44,11.005,0.534,0.389,11.065,0.538,0.391,0.0,0.0,,,,71.223,2222.007,2282.536,1.127,400.584,446.143,116.222,1302.929,,28270.334,2.043,11.277,1.674,17.291,2.567,19.286,19.286,-0.403,-0.06,63.35,9.644,1.83,0.279,44.33,6.582,,,190.409,0.097,0.201,0.181,0.0,0.158,0.128,0.092,0.0,2.171,0.176,0.016,0.215,,2.707,0.218,-0.01,0.374,,0.156,0.001,0.001,0.003,0.0,126.69,126.69,,,14908.960055112779,2.0
Liechtenstein,2021,LIE,39058.0,,0.0,0.0,0.151,0.009,6.306,,,,,,,3.865,,,0.0,0.0,,,,0.0,6.266,,0.001,0.0,1.698,,4.567,0.0,,,0.0,0.0,0.056,1.423,4.156,4.156,,,0.0,0.0,0.0,0.0,0.095,2.442,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.001,,0.001,0.0,0.0,0.001,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,,,,
Lithuania,2021,LTU,2786652.0,76617523200.0,0.557,0.2,13.881,0.228,1.668,12.672,0.374,3.043,4.547,0.157,0.181,4.981,0.179,0.198,0.732,0.263,20.297,7.197,0.303,47.604,1575.84,3006.118,185.584,12.455,293.343,1508.176,1033.403,3.451,25173.395,0.924,0.182,0.065,4.004,1.437,6.644,6.423,-1.209,-0.434,3.03,1.064,3.65,1.281,8.377,3.006,0.011,0.03,70.149,0.033,0.037,0.031,0.005,0.106,0.091,0.121,0.023,0.067,0.115,0.203,0.171,0.036,0.044,0.051,-0.031,0.071,0.01,0.098,0.0,0.001,0.002,0.0,18.3,18.93,6.644,48.662,27494.47121492027,3.0
Luxembourg,2021,LUX,639330.0,35015057408.0,0.399,0.624,8.355,0.258,3.187,8.428,0.258,3.158,13.182,0.274,0.195,13.068,0.273,0.193,0.209,0.327,7.97,12.643,0.274,20.263,761.954,750.193,358.212,0.002,75.217,-1.466,306.116,2.144,67687.906,1.326,0.0,0.0,1.571,2.458,16.904,16.452,0.073,0.115,0.56,0.903,0.38,0.613,6.126,9.581,0.077,0.049,43.275,0.024,0.023,0.021,0.001,0.045,0.044,0.03,0.045,0.0,0.03,-0.0,0.051,0.022,0.0,0.02,0.002,0.052,0.017,0.024,0.0,0.0,0.0,0.0,10.2,10.48,-0.127,-1.563,54768.36282983749,4.0
Madagascar,2021,MDG,28915652.0,36665933824.0,0.089,0.003,4.244,0.244,6.093,34.582,0.39,1.142,1.196,0.967,2.356,0.147,0.104,0.289,1.468,0.051,5.446,0.193,0.14,2.402,101.226,5827.215,14.869,0.0,0.0,8791.658,83.955,,507.644,0.424,0.0,0.0,0.0,0.0,1.074,1.461,30.338,1.049,16.2,0.588,8.73,0.317,2.687,0.093,,,14.679,0.005,0.011,0.084,0.01,0.005,0.006,0.235,0.002,0.0,0.0,1.184,0.014,,0.0,0.0,0.77,0.023,,0.261,0.001,0.003,0.004,0.0,40.22,29.58,1.446,36.133,1268.0306784713,0.0
Malawi,2021,MWI,19889742.0,22574655488.0,0.094,0.005,1.552,0.081,5.476,5.912,-0.103,-1.706,0.297,0.289,0.639,0.078,0.07,0.168,0.227,0.011,2.478,0.128,0.112,3.363,52.108,1138.044,12.488,0.0,0.0,1627.659,36.258,,464.983,0.441,0.0,0.0,0.0,0.0,0.58,1.025,4.36,0.219,4.07,0.216,4.84,0.257,1.231,0.062,,,9.248,0.006,0.004,0.014,0.002,0.007,0.003,0.046,0.002,0.0,0.0,0.219,0.006,,0.0,0.0,0.111,0.01,,0.062,0.0,0.001,0.001,0.0,19.34,10.95,1.006,68.355,1134.9898599991895,0.0
Malaysia,2021,MYS,33573872.0,773658509312.0,13.385,0.399,256.049,-3.432,-1.323,404.844,-6.474,-1.574,12.058,0.529,0.318,7.626,0.345,0.201,85.795,2.555,243.056,7.321,0.323,277.949,6301.49,17993.387,1214.146,276.671,1824.197,12581.627,2708.527,,37897.133,1.563,3.764,0.112,82.003,2.442,9.542,12.075,148.795,4.432,38.66,1.179,13.05,0.398,71.103,2.118,,,1272.354,0.8,0.69,0.986,0.573,0.617,0.363,0.727,0.151,1.499,0.718,1.695,0.447,,0.904,1.035,3.777,0.601,,0.615,0.002,0.007,0.01,0.0,396.11,313.02,-16.425,-6.33,23043.469913508932,3.0
Maldives,2021,MDV,521469.0,,0.0,0.0,2.118,0.057,2.767,,,,,,,4.062,,0.23,0.0,0.0,,,,0.0,27.453,,0.0,0.0,0.0,,27.453,,17669.365,,0.0,0.0,0.0,0.0,5.153,5.153,,,0.13,0.258,0.01,0.02,2.118,4.062,,,9.214,0.0,0.006,,0.0,0.0,0.002,,0.0,0.0,0.0,,0.005,,0.0,0.0,,0.018,,0.001,0.0,0.0,0.0,0.0,2.6,2.6,,,,
Mali,2021,MLI,21904990.0,27521622016.0,0.387,0.018,4.17,0.241,6.145,-1.949,-0.748,62.26,-0.089,0.059,-0.076,0.19,0.134,0.163,0.0,0.0,,,,2.918,68.231,1313.258,0.0,0.0,0.0,1644.733,65.313,,1168.567,0.901,0.0,0.0,0.0,0.0,2.147,2.147,-6.119,-0.279,22.96,1.116,14.26,0.693,3.782,0.173,,,25.597,0.023,0.011,-0.005,0.0,0.006,0.004,0.053,0.0,0.0,0.0,0.222,0.011,,0.0,0.0,-0.155,0.032,,0.09,0.001,0.0,0.001,0.0,44.16,44.15,,,1256.4087916041049,0.0
Malta,2021,MLT,526751.0,15606394880.0,0.0,0.0,1.724,0.125,7.788,1.688,0.125,7.971,3.204,0.097,0.043,3.273,0.099,0.044,0.0,0.0,8.561,16.612,0.666,0.0,105.586,100.566,6.408,0.0,3.522,-5.24,95.631,0.024,74324.461,2.48,0.0,0.0,0.843,1.601,4.249,4.229,-0.037,-0.07,0.22,0.437,0.05,0.099,0.881,1.672,0.0,0.0,39.15,0.0,0.005,0.004,0.0,0.0,0.006,0.004,0.001,0.0,0.001,-0.001,0.016,0.0,0.0,0.011,-0.001,0.007,0.0,0.003,0.0,0.0,0.0,0.0,2.13,2.14,6.962,435.228,29627.6511672498,4.0
Marshall Islands,2021,MHL,42074.0,,0.0,0.0,0.159,0.004,2.767,,,,,,,3.778,,,0.0,0.0,,,,0.0,3.575,,0.0,0.0,0.0,,3.575,,,,0.0,0.0,0.0,0.0,5.14,5.14,,,0.03,0.67,0.0,0.0,0.159,3.778,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,0.23,0.23,,,,
Mauritania,2021,MRT,4614981.0,13278341120.0,0.0,0.0,4.118,0.263,6.817,4.228,0.299,7.623,0.916,0.276,0.23,0.892,0.276,0.224,0.0,0.0,,,,0.0,80.76,134.181,0.436,0.521,0.0,53.421,79.802,,3988.532,1.31,0.0,0.0,0.0,0.0,3.26,3.013,0.11,0.024,7.01,1.599,3.3,0.753,4.118,0.892,,,18.407,0.0,0.011,0.01,0.0,0.0,0.005,0.005,0.0,0.003,0.0,0.007,0.013,,0.0,0.0,0.003,0.035,,0.023,0.0,-0.0,0.0,0.0,13.21,14.29,,,2877.2255227052938,1.0
Mauritius,2021,MUS,1298922.0,27474712576.0,0.0,0.0,4.472,0.263,6.257,4.728,0.3,6.774,3.64,0.168,0.185,3.443,0.164,0.175,1.637,1.261,5.836,4.496,0.216,0.0,120.601,123.642,32.525,0.0,0.0,0.293,88.076,,19724.719,1.034,0.0,0.0,0.0,0.0,5.284,5.269,0.256,0.197,1.95,1.504,0.24,0.185,2.834,2.182,,,25.621,0.0,0.012,0.012,0.011,0.0,0.007,0.005,0.004,0.0,0.0,0.0,0.015,,0.0,0.0,0.007,0.024,,0.006,0.0,0.0,0.0,0.0,6.83,6.85,1.627,38.665,21151.934123834995,3.0
Mexico,2021,MEX,126705136.0,2006599729152.0,22.339,0.176,407.205,15.499,3.957,667.459,24.512,3.812,5.268,0.361,0.301,3.214,0.237,0.183,19.361,0.153,432.384,3.432,0.262,699.265,20587.508,35423.52,1521.83,550.35,4356.04,16391.197,13460.022,,17515.205,1.129,12.237,0.097,157.553,1.243,5.227,5.363,260.254,2.054,140.01,1.119,45.47,0.364,195.716,1.545,,,2219.266,1.336,1.097,1.625,0.129,1.552,1.185,1.431,0.189,2.982,1.715,2.208,2.223,,2.938,1.989,6.607,1.653,,1.421,0.008,0.014,0.023,0.002,670.84,653.87,40.678,10.385,15836.76709957519,3.0
Micronesia (country),2021,FSM,113143.0,,0.0,0.0,0.159,0.004,2.767,,,,,,,1.405,,0.22,0.0,0.0,,,,0.0,4.447,,0.0,0.0,0.0,,4.447,,6387.088,,0.0,0.0,0.0,0.0,2.334,2.065,,,0.05,0.449,0.03,0.269,0.159,1.405,,,0.723,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,0.23,0.26,,,,
Moldova,2021,MDA,3061509.0,23299414016.0,0.636,0.208,5.602,0.351,6.69,1.498,0.058,4.036,0.489,0.097,0.031,1.83,0.234,0.114,0.416,0.136,,,,36.315,1341.734,1932.48,402.439,3.596,199.038,613.683,700.346,,16006.373,1.77,0.0,0.0,1.936,0.632,4.306,4.342,-4.104,-1.34,3.34,1.074,1.09,0.351,2.613,0.853,,,49.004,0.038,0.015,0.004,0.003,0.081,0.077,0.078,0.05,0.019,0.078,0.083,0.116,,0.0,0.024,-0.104,0.022,,0.06,0.0,0.001,0.001,0.0,13.5,13.39,,,7610.434598101786,1.0
Mongolia,2021,MNG,3347782.0,41531756544.0,0.487,0.146,50.316,0.711,1.433,43.061,1.114,2.655,12.863,0.913,0.574,15.03,1.091,0.671,44.4,13.263,43.203,13.114,0.982,6.366,753.727,1234.517,628.376,0.114,0.0,1005.475,118.871,,22407.674,1.713,0.0,0.0,0.0,0.0,17.34,18.299,-7.255,-2.167,18.79,5.813,13.89,4.297,5.429,1.622,,,75.016,0.029,0.136,0.105,0.296,0.014,0.043,0.05,0.078,0.001,0.0,0.135,0.02,,0.0,0.0,-0.184,0.046,,0.156,0.001,0.001,0.003,0.0,59.15,56.05,-6.403,-12.907,12405.75298630556,2.0
Montenegro,2021,MNE,627856.0,11980409856.0,0.0,0.0,1.751,-0.7,-28.552,1.898,-0.48,-20.187,3.023,0.112,0.16,2.789,0.2,0.147,0.787,1.253,,,,0.0,105.346,231.497,73.674,0.034,0.0,216.506,31.637,,18940.291,1.152,0.0,0.0,0.0,0.0,6.075,6.123,0.147,0.233,0.78,1.237,0.15,0.238,0.965,1.536,,,11.892,0.0,0.005,0.005,0.005,0.0,0.006,0.009,0.009,0.0,0.0,0.029,0.005,,0.0,0.0,0.004,0.008,,0.009,0.0,0.0,0.0,0.0,3.86,3.83,,,19081.461124843914,3.0
Morocco,2021,MAR,37076588.0,299980095488.0,5.001,0.135,70.578,5.857,9.05,68.159,5.528,8.826,1.838,0.209,0.254,1.904,0.21,0.263,27.845,0.751,66.146,1.803,0.223,171.862,1809.254,3129.063,478.137,0.0,33.963,1772.387,1125.293,,7236.71,0.806,0.0,0.0,1.574,0.042,2.564,2.511,-2.418,-0.065,12.16,0.335,8.9,0.245,36.159,0.975,,,268.313,0.299,0.19,0.166,0.186,0.381,0.104,0.126,0.059,0.0,0.013,0.239,0.186,,0.0,0.02,-0.061,0.305,,0.173,0.001,0.001,0.003,0.0,91.15,93.08,1.426,2.203,8090.8225829194425,1.0
Mozambique,2021,MOZ,32077074.0,29449971712.0,1.011,0.032,7.156,0.487,7.299,35.222,-0.832,-2.308,1.098,1.3,0.49,0.223,0.24,0.1,0.05,0.002,13.092,0.42,0.444,16.143,183.136,4699.712,44.058,0.153,14.666,6223.597,108.117,,2241.226,2.381,0.0,0.0,1.924,0.06,1.169,3.524,28.066,0.875,26.41,0.872,19.12,0.631,4.171,0.13,,,71.892,0.06,0.019,0.086,0.0,0.036,0.011,0.19,0.005,0.001,0.006,0.838,0.018,,0.0,0.024,0.713,0.035,,0.189,0.001,0.002,0.003,0.0,106.74,35.4,6.422,96.294,918.1003140124315,0.0
Myanmar,2021,MMR,53798088.0,317599023104.0,2.938,0.055,36.307,0.218,0.604,140.657,0.328,0.234,2.615,0.437,0.853,0.675,0.11,0.22,4.18,0.078,,,,23.823,642.667,6894.77,55.12,6.008,167.191,14907.937,390.525,,3064.848,0.542,0.039,0.001,7.764,0.144,2.512,4.58,104.351,1.94,76.79,1.448,26.78,0.505,21.384,0.397,,,164.883,0.176,0.098,0.343,0.028,0.053,0.037,0.279,0.007,0.033,0.066,2.008,0.064,,0.009,0.098,2.649,0.181,,0.665,0.004,0.007,0.011,0.001,242.95,133.25,,,5903.537373001062,1.0
Namibia,2021,NAM,2530150.0,23095486464.0,0.52,0.206,4.015,0.07,1.766,9.474,1.096,13.076,3.745,0.307,0.428,1.587,0.18,0.181,0.049,0.019,9.095,3.654,0.396,3.986,78.961,189.394,2.283,0.0,0.0,293.596,72.693,,8748.273,1.008,0.0,0.0,0.0,0.0,4.357,8.673,5.459,2.158,3.79,1.549,2.33,0.952,3.446,1.362,,,22.134,0.031,0.011,0.023,0.0,0.009,0.005,0.008,0.0,0.0,0.0,0.04,0.012,,0.0,0.0,0.139,0.029,,0.031,0.0,0.0,0.0,0.0,21.22,10.66,5.15,130.531,9128.109584016758,1.0
Nauru,2021,NRU,12533.0,,0.0,0.0,0.06,0.002,2.767,,,,,,,4.756,,0.22,0.0,0.0,,,,0.0,4.917,,0.0,0.0,0.0,,4.917,,21609.617,,0.0,0.0,0.0,0.0,5.758,5.758,,,0.0,0.0,0.0,0.0,0.06,4.756,,,0.271,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,0.07,0.07,,,,
Nepal,2021,NPL,30034988.0,81052450816.0,3.763,0.125,14.173,0.229,1.639,29.269,0.045,0.155,0.974,0.37,0.606,0.472,0.183,0.294,3.643,0.121,24.926,0.849,0.332,28.048,174.738,1536.646,44.528,0.0,0.0,2241.342,102.162,,1607.635,0.617,0.0,0.0,0.0,0.0,1.534,1.678,15.096,0.503,24.13,0.837,7.75,0.269,6.768,0.225,,,48.285,0.225,0.038,0.071,0.024,0.062,0.01,0.062,0.006,0.0,0.0,0.302,0.017,,0.0,0.0,0.383,0.057,,0.132,0.001,0.001,0.002,0.0,48.37,44.22,10.982,78.752,2698.601072056363,0.0
Netherlands,2021,NLD,17501696.0,818056003584.0,0.006,0.0,141.045,3.196,2.318,143.097,3.196,2.284,8.176,0.196,0.141,8.059,0.194,0.139,23.001,1.314,151.915,8.713,0.208,56.445,11879.458,12517.419,3866.873,29.955,3939.72,651.679,3948.477,37.987,58009.895,1.254,0.925,0.053,68.083,3.89,9.919,9.998,2.052,0.117,15.54,0.895,8.12,0.468,47.937,2.739,0.062,1.093,1015.272,0.0,0.38,0.348,0.154,0.125,0.684,0.506,0.481,0.162,1.551,0.088,0.652,0.392,0.222,0.859,0.052,0.405,0.369,0.456,0.001,0.006,0.007,0.001,173.59,172.23,14.065,10.203,46741.52742591347,4.0
New Zealand,2021,NZL,5129730.0,171013586944.0,0.379,0.074,33.79,-0.667,-1.936,37.161,-0.41,-1.092,7.244,0.22,0.158,6.587,0.209,0.143,6.752,1.316,38.793,7.665,0.227,33.837,1916.908,4750.755,633.744,29.735,331.676,3060.466,867.072,20.844,45906.223,1.512,0.781,0.152,6.658,1.298,16.777,14.638,3.371,0.657,32.52,6.558,15.07,3.039,18.65,3.636,0.111,0.57,235.487,0.023,0.091,0.09,0.045,0.075,0.11,0.192,0.079,0.161,0.131,0.412,0.143,0.215,0.187,0.084,0.086,0.158,0.193,0.298,0.002,0.002,0.005,0.001,72.59,83.2,4.336,12.584,33337.73647813823,4.0
